,id_student,highest_education,final_result,1752,1753,1754,1755,1756,1757,S1752,S1753,S1754,S1755,S1756,S1757,TSC,TDC,excellent,qualified,AS,EwC
0,11391,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,78.0,85.0,80.0,85.0,82.0,0.0,934.0,196.0,1.0,1.0,0.0,0.0
1,28400,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,70.0,68.0,70.0,64.0,60.0,0.0,1435.0,430.0,0.0,1.0,0.0,0.0
2,30268,A Level or Equivalent,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,76.0,0.0,0.0,0.0,0.0
3,31604,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,71.0,74.0,88.0,75.0,0.0,2158.0,663.0,0.0,1.0,0.0,0.0
4,32885,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,69.0,30.0,63.0,35.0,75.0,0.0,1034.0,352.0,0.0,1.0,0.0,0.0
5,38053,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,79.0,69.0,74.0,50.0,68.0,0.0,2445.0,723.0,0.0,1.0,0.0,0.0
6,45462,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,70.0,65.0,62.0,75.0,68.0,0.0,1492.0,355.0,0.0,1.0,0.0,0.0
7,45642,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,72.0,72.0,73.0,73.0,0.0,1428.0,531.0,0.0,1.0,0.0,0.0
8,52130,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,68.0,75.0,72.0,70.0,0.0,1894.0,593.0,0.0,1.0,0.0,0.0
9,53025,Post Graduate Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,71.0,80.0,78.0,80.0,81.0,0.0,3158.0,904.0,0.0,1.0,0.0,0.0
